year,make,model,trim,state,mileage,color,interior,sellingprice
2012,Land Rover,Range Rover,HSE,ca,56169,black,black,39500
2011,Land Rover,Range Rover,Supercharged,ca,53634,black,black,46000
2011,Land Rover,Range Rover,HSE,ca,31927,black,black,34600
2011,Land Rover,Range Rover,Supercharged,ca,56574,gray,black,42500
2011,Land Rover,Range Rover,HSE,ca,47019,black,black,40500
2011,Land Rover,Range Rover,HSE,ca,58109,black,gray,34500
2010,Land Rover,Range Rover,HSE,ca,35561,white,tan,28500
2008,Land Rover,Range Rover,Supercharged,ca,82038,white,white,26000
2001,Land Rover,Range Rover,4.6 HSE,ca,121719,green,tan,2600
2014,Land Rover,Range Rover,HSE,ca,10179,black,black,83500
2014,Land Rover,Range Rover,Autobiography LWB,ca,5369,white,orange,135000
2014,Land Rover,Range Rover,Supercharged,ca,4460,brown,brown,108000
2012,Land Rover,Range Rover,HSE,ca,34899,brown,brown,47000
2002,Land Rover,Range Rover,4.6 HSE,ca,115630,white,beige,400
1999,Land Rover,Range Rover,4.6 HSE,ca,131135,beige,black,800
1999,Land Rover,Range Rover,4.0 S,ca,72461,green,tan,3300
2011,Land Rover,Range Rover,HSE,pa,46927,white,tan,40750
2011,Land Rover,Range Rover,HSE,nj,63408,gray,black,34200
2011,Land Rover,Range Rover,HSE,tn,31824,black,black,40600
2011,Land Rover,Range Rover,HSE,ga,64095,green,white,29800
2011,Land Rover,Range Rover,Supercharged,tx,6939,white,tan,54000
2011,Land Rover,Range Rover,Supercharged,wi,53602,white,black,38600
2010,Land Rover,Range Rover,HSE,fl,49880,gray,black,34000
2010,Land Rover,Range Rover,Supercharged,tn,66115,white,tan,39800
2010,Land Rover,Range Rover,HSE,nc,64550,black,tan,32800
2010,Land Rover,Range Rover,HSE,tn,43242,black,beige,33000
2010,Land Rover,Range Rover,HSE,pa,41486,black,beige,33000
2010,Land Rover,Range Rover,HSE,oh,84177,gray,gray,30700
2010,Land Rover,Range Rover,Supercharged,ga,36414,blue,tan,44000
2009,Land Rover,Range Rover,HSE,pa,86028,black,beige,22100
2009,Land Rover,Range Rover,Supercharged,pa,68886,black,black,30000
2008,Land Rover,Range Rover,HSE,pa,107579,black,black,17500
2008,Land Rover,Range Rover,HSE,pa,102462,silver,beige,17700
2008,Land Rover,Range Rover,HSE,tx,78327,white,beige,22000
2008,Land Rover,Range Rover,HSE,tx,117247,white,tan,13400
2000,Land Rover,Range Rover,4.6 Vitesse,sc,183128,black,black,500
